"Open","High","Low","Close","Volume"
76.38,76.38,75.04,75.25,3161768
76.38,77.38,76.03,76.22,5027230
74.94,76.33,74.87,76.3,4207990
74.5,75,74.17,74.92,2514501
74.41,74.69,74.15,74.34,3284010
74.2,74.5,73.96,74.48,2802318
73.89,74.02,73.41,73.95,4255666
72.88,74.02,72.88,73.96,3852589
73.49,73.79,72.5,73.04,5205294
73.59,74.22,73.49,73.49,4802014
73.52,73.84,73.09,73.17,3607358
72.49,73.6,72.44,73.52,6648505
71.4,72.72,71.35,72.54,5264146
70.67,71.57,70.46,71.31,4675385
70.46,70.92,69.75,70.09,5088134
69.54,70.54,69.44,70.51,3907771
70,70.21,69.38,69.74,3311134
69.64,70.5,69.6,70.05,5005435
70.2,70.3,69.4,69.82,6502269
69.76,70.58,69.68,70,6771275
69.71,70.41,69.06,69.74,7325250
69.05,69.72,67.9,69.45,5576938
68.23,69.86,68.08,69.35,6760754
69.37,70.2,69.29,69.78,7511109
68.26,69.2,68.26,68.86,4421758
68.27,68.84,67.67,68.3,4579790
68.11,68.89,67.99,67.99,4327150
67.01,68.09,66.87,67.5,7864256
67.22,67.54,66.73,66.98,4967892
66.98,67.85,66.89,67.27,5894720
66.67,66.94,65.92,66.74,5271766
67.85,68.09,66.84,66.89,4635149
67.45,68.13,67.05,67.88,4743557
68.58,68.87,67.36,67.69,6122931
68.35,68.9,68.12,68.62,5708861
69.22,69.64,68.19,68.24,5375445
68.62,69.22,68.23,68.81,5623944
68.38,69.03,68.07,68.65,7251048
67.74,68.42,67.74,68.32,13664111
68.96,68.96,68.01,68.41,8786674
69.28,69.48,68.46,68.78,8560496
68.98,69.53,68.76,68.9,4811485
69.63,70.11,68.8,68.91,6997667
68.82,69.68,68.32,69.28,8678049
68.07,69.22,68.02,68.69,7114450
68.78,69.05,67.86,67.93,7889884
67.39,69.14,67,68.66,9256025
68.16,68.71,66.79,67.06,12985055
67.48,68.62,65.5,68,36425409
74.65,75.1,73.06,73.61,9265128
73.55,75.35,73,74.61,8754910
75.26,75.39,73.78,73.88,9440397
75.33,76.4,75.31,75.6,9123478
77.06,77.37,75.68,75.7,11478121
79.86,80.51,79.3,80.05,3848931
79.09,80.3,78.77,79.93,4391543
78.13,78.86,77.85,78.74,3467635
79.56,79.71,77.62,78.13,5653016
79.67,80.27,79.43,79.71,3214252
79.97,80.34,79.57,79.99,3225186
79.45,80.16,79.04,80.12,4873394
80.6,80.68,79.01,79.5,6838734
82.82,82.99,81.15,81.33,3832943
82.67,83.57,82.2,83.29,3580048
82.64,83.11,82.43,82.6,2932570
82.15,82.6,81.6,82.6,3160762
82.89,83.13,82.15,82.33,3208328
83.08,83.63,82.5,82.75,3328896
83.94,83.96,82.52,82.87,3737103
83.5,84.14,83.39,83.98,3423199
82.67,83.75,82.66,83.42,3716857
82.07,83.06,82,82.6,3542825
81.35,82.1,81.28,81.78,2688933
81.11,81.67,80.49,81.56,2497226
79.94,81.06,79.36,80.78,3338853
80.94,81.34,79.71,79.77,4678614
81.26,81.38,80.55,80.88,3930478
81.95,82.32,81,81.57,4121933
82.05,82.41,81.66,82.17,3858005
82.15,82.6,81.81,82.1,4396431
82.89,83.36,82.12,82.3,3752890
81.76,83.19,81.76,82.76,4288685
82.5,83.15,80.98,82.28,9470895
83.42,83.9,82.97,83.6,3199892
82.86,83.27,82.12,82.97,3576478
82.38,83.44,82.31,82.8,5692915
81.36,82.18,81.18,82.04,4305088
81.73,82.35,81.5,81.5,4785881
82.39,82.62,81.65,81.7,5256668
82.5,82.9,82.13,82.2,4654198
